timestamp,upper_tank_pct,pressure_kpa,sensor_voltage,sensor_status,lora_rssi,lora_snr,pump_current_a,mains_voltage_v,pump_relay,decision_action,decision_state,decision_reason
2026-07-12T01:03:03.126924,0.0,4.74,0.689,ok,,,,,OFF,OFF,OFF_LORA_TIMEOUT,LoRa data stale (108s old)
2026-07-12T01:03:04.136937,0.0,4.74,0.689,ok,,,,,OFF,OFF,OFF_LORA_TIMEOUT,LoRa data stale (109s old)
2026-07-12T01:03:05.149381,0.0,4.74,0.689,ok,,,,,OFF,OFF,OFF_LORA_TIMEOUT,LoRa data stale (110s old)
2026-07-12T01:03:06.179561,0.0,4.74,0.689,ok,-61,9.50,,,OFF,OFF,OFF_LORA_TIMEOUT,LoRa data stale (111s old)
2026-07-12T01:03:07.190448,0.0,4.74,0.689,ok,,,,,OFF,OFF,OFF_LORA_TIMEOUT,LoRa data stale (112s old)
2026-07-12T01:03:08.198590,0.0,4.74,0.689,ok,,,,,OFF,OFF,OFF_LORA_TIMEOUT,LoRa data stale (113s old)
2026-07-12T01:03:09.210548,0.0,4.74,0.689,ok,,,,,OFF,OFF,OFF_LORA_TIMEOUT,LoRa data stale (114s old)
2026-07-12T01:03:10.222377,0.0,4.74,0.689,ok,,,,,OFF,OFF,OFF_LORA_TIMEOUT,LoRa data stale (115s old)
2026-07-12T01:03:11.234932,0.0,4.74,0.689,ok,,,,,OFF,OFF,OFF_LORA_TIMEOUT,LoRa data stale (116s old)
2026-07-12T01:03:12.245539,0.0,4.74,0.689,ok,,,,,OFF,OFF,OFF_LORA_TIMEOUT,LoRa data stale (117s old)
2026-07-12T01:03:13.256146,0.0,4.74,0.689,ok,,,,,OFF,OFF,OFF_LORA_TIMEOUT,LoRa data stale (118s old)
2026-07-12T01:03:14.268769,0.0,4.74,0.689,ok,,,,,OFF,OFF,OFF_LORA_TIMEOUT,LoRa data stale (120s old)
2026-07-12T01:03:15.279860,0.0,4.74,0.689,ok,,,,,OFF,OFF,OFF_LORA_TIMEOUT,LoRa data stale (121s old)
2026-07-12T01:03:16.290912,0.0,4.74,0.689,ok,,,,,OFF,OFF,OFF_LORA_TIMEOUT,LoRa data stale (122s old)
2026-07-12T01:03:17.299753,0.0,4.74,0.689,ok,,,,,OFF,OFF,OFF_LORA_TIMEOUT,LoRa data stale (123s old)
2026-07-12T01:03:18.311099,0.0,4.74,0.689,ok,,,,,OFF,OFF,OFF_LORA_TIMEOUT,LoRa data stale (124s old)
2026-07-12T01:03:19.320173,0.0,4.74,0.689,ok,,,,,OFF,OFF,OFF_LORA_TIMEOUT,LoRa data stale (125s old)
2026-07-12T01:03:20.330850,0.0,4.74,0.689,ok,,,,,OFF,OFF,OFF_LORA_TIMEOUT,LoRa data stale (126s old)
2026-07-12T01:03:21.342908,0.0,4.74,0.689,ok,,,,,OFF,OFF,OFF_LORA_TIMEOUT,LoRa data stale (127s old)
2026-07-12T01:03:22.356129,0.0,4.74,0.689,ok,,,,,OFF,OFF,OFF_LORA_TIMEOUT,LoRa data stale (128s old)
2026-07-12T01:03:23.367974,0.0,4.74,0.689,ok,,,,,OFF,OFF,OFF_LORA_TIMEOUT,LoRa data stale (129s old)
2026-07-12T01:03:24.378559,0.0,4.74,0.689,ok,,,,,OFF,OFF,OFF_LORA_TIMEOUT,LoRa data stale (130s old)
2026-07-12T01:03:25.392049,0.0,4.74,0.689,ok,,,,,OFF,OFF,OFF_LORA_TIMEOUT,LoRa data stale (131s old)
2026-07-12T01:03:26.403816,0.0,4.74,0.689,ok,,,,,OFF,OFF,OFF_LORA_TIMEOUT,LoRa data stale (132s old)
2026-07-12T01:03:27.413981,0.0,4.74,0.689,ok,,,,,OFF,OFF,OFF_LORA_TIMEOUT,LoRa data stale (133s old)
2026-07-12T01:03:28.427505,0.0,4.74,0.689,ok,,,,,OFF,OFF,OFF_LORA_TIMEOUT,LoRa data stale (134s old)
2026-07-12T01:03:29.438521,0.0,4.74,0.689,ok,,,,,OFF,OFF,OFF_LORA_TIMEOUT,LoRa data stale (135s old)
2026-07-12T01:03:30.451093,0.0,4.74,0.689,ok,,,,,OFF,OFF,OFF_LORA_TIMEOUT,LoRa data stale (136s old)
2026-07-12T01:03:31.464354,0.0,4.74,0.689,ok,,,,,OFF,OFF,OFF_LORA_TIMEOUT,LoRa data stale (137s old)
2026-07-12T01:03:32.477564,0.0,4.74,0.689,ok,,,,,OFF,OFF,OFF_LORA_TIMEOUT,LoRa data stale (138s old)
2026-07-12T01:03:33.489868,0.0,4.74,0.689,ok,,,,,OFF,OFF,OFF_LORA_TIMEOUT,LoRa data stale (139s old)
2026-07-12T01:03:34.499290,0.0,4.74,0.689,ok,,,,,OFF,OFF,OFF_LORA_TIMEOUT,LoRa data stale (140s old)
2026-07-12T01:03:35.510799,0.0,4.74,0.689,ok,,,,,OFF,OFF,OFF_LORA_TIMEOUT,LoRa data stale (141s old)
2026-07-12T01:03:36.520232,0.0,4.74,0.689,ok,,,,,OFF,OFF,OFF_LORA_TIMEOUT,LoRa data stale (142s old)
2026-07-12T01:03:37.531783,0.0,4.74,0.689,ok,,,,,OFF,OFF,OFF_LORA_TIMEOUT,LoRa data stale (143s old)
2026-07-12T01:03:38.540194,0.0,4.74,0.689,ok,,,,,OFF,OFF,OFF_LORA_TIMEOUT,LoRa data stale (144s old)
2026-07-12T01:03:39.555845,0.0,4.74,0.689,ok,,,,,OFF,OFF,OFF_LORA_TIMEOUT,LoRa data stale (145s old)
2026-07-12T01:03:40.564003,0.0,4.74,0.689,ok,,,,,OFF,OFF,OFF_LORA_TIMEOUT,LoRa data stale (146s old)
2026-07-12T01:03:41.576839,0.0,4.74,0.689,ok,,,,,OFF,OFF,OFF_LORA_TIMEOUT,LoRa data stale (147s old)
2026-07-12T01:03:42.587885,0.0,4.74,0.689,ok,,,,,OFF,OFF,OFF_LORA_TIMEOUT,LoRa data stale (148s old)
2026-07-12T01:03:43.599655,0.0,4.74,0.689,ok,,,,,OFF,OFF,OFF_LORA_TIMEOUT,LoRa data stale (149s old)
2026-07-12T01:03:44.610335,0.0,4.74,0.689,ok,,,,,OFF,OFF,OFF_LORA_TIMEOUT,LoRa data stale (150s old)
2026-07-12T01:03:45.620676,0.0,4.74,0.689,ok,,,,,OFF,OFF,OFF_LORA_TIMEOUT,LoRa data stale (151s old)
2026-07-12T01:03:46.639160,0.0,4.74,0.689,ok,,,,,OFF,OFF,OFF_LORA_TIMEOUT,LoRa data stale (152s old)
2026-07-12T01:03:47.649483,0.0,4.74,0.689,ok,,,,,OFF,OFF,OFF_LORA_TIMEOUT,LoRa data stale (153s old)
